cc_num,amt,gender,city_pop,trans_num,age,trans_hour,trans_day_of_week,trans_weekend,trans_month,distance,avg_amt,total_transactions,total_fraud,fraud_rate,merchant_encoded,job_encoded,category_entertainment,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
5359543825610251,59.91,1,18182,784eb609215cbaf3725642a7a9f8bb57,45,7,4,0,9,68.67922412198897,66.91849657534247,2920,0,0.0,285,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5540636818935089,3.96,1,76383,74e0ceb1e273a4a37f56dd2b5e6ce03d,35,17,5,1,12,74.98324186290589,70.12143756845563,3652,12,0.0032858707557502,284,216,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2720894374956739,51.17,0,16305,93c2b2ce1e96db464d9a7c7f2e9fb1dd,92,11,5,1,6,57.099604310782176,68.05206403269754,1468,11,0.0074931880108991,24,374,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6011438889172900,2.06,0,5161,a269c6b9d9a1603bee720d3ad4fdcfa8,27,22,5,1,8,52.78145003781606,91.42283922462944,4385,14,0.0031927023945267,531,147,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60495593109,6.58,1,1263321,9ce4d94b27e36cc2c79bb02351831722,76,15,3,0,7,37.942008517284286,64.89167115902966,742,12,0.0161725067385444,318,460,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6011477612335392,24.49,1,2274,a9dd902c9f0aabd11730743a7add3bf9,76,17,3,0,7,108.26837739781334,72.80093243243243,740,10,0.0135135135135135,106,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2703186189652095,99.74,0,3495,46a5dc739d307fa54fa4ffd082e8cad7,32,23,4,0,12,83.26834382306983,89.40874274000684,2927,11,0.0037581141100102,581,372,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4839615922685395,147.12,1,76,cd7e5a8bc6776c1eb4728b01bfe7554f,64,4,4,0,7,96.91480143741909,61.155235816814766,2926,8,0.0027341079972658,645,426,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3553629419254918,46.85,0,85,add8330b0172e65570115c36891b71a8,36,7,0,0,12,79.63844176621718,52.71149052727688,4381,9,0.0020543254964619,590,392,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4481131401752,33.56,1,35299,5151c60669d29fb73ec3690489e020f8,44,15,1,0,4,87.67613538296206,57.22272479564033,1468,9,0.0061307901907356,673,178,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4561368699336875,63.76,0,167,fc29e7c11f1d84dfd14f995b81b1cf9a,31,6,5,1,7,88.95891724510811,53.39838994565217,1472,14,0.0095108695652173,157,303,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4477156602511939689,143.78,0,42384,bfc918fa65532994d8571c6410755533,28,12,0,0,12,65.51216962859432,88.3879001367989,1462,8,0.0054719562243502,610,207,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4586810168620942,232.49,0,2408,d240399c25709279287b5f58f7dc001f,22,16,0,0,10,14.233178600282582,72.95143704379562,4384,10,0.0022810218978102,661,406,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30118423745458,64.06,1,30770,c716a9dfd5f52ff5420c6f9ebb4dd16e,26,14,4,0,9,64.21656218448997,60.0350633344745,2921,7,0.0023964395754878,168,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0
501899453424,125.72,0,67082,1f02543321b0dc08ada39722d35a217c,49,15,6,1,7,37.04334659953913,66.66652986776106,2193,8,0.0036479708162334,213,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0
346273234529002,7.99,0,4575,24d5201f747f9f7d847b54d2e6fbfdbf,28,5,6,1,12,95.25876680436124,85.36277091906722,3645,3,0.0008230452674897,583,437,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4873783502705038,35.56,0,14871,7df154c9b92054f0c96cf406a8a6bb63,45,1,6,1,12,77.4836482081828,92.35940329218109,2916,8,0.0027434842249657,452,378,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30501624614310,48.72,0,302,5203f42127cbf69eec0a8e8fc051caa0,46,19,6,1,11,99.4348255060726,57.8809019473864,2927,15,0.0051247010591048,660,278,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4378993458389626,62.82,1,3807,bea673bb97aa1a0422886cb697270849,19,7,0,0,7,65.48574318632389,65.57335157318742,2193,8,0.0036479708162334,463,440,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3566875419572867,115.62,1,1654,cefe9fe7dabd97d941113f4001dd3706,28,4,3,0,9,66.71527083932665,100.21745057941376,1467,13,0.0088616223585548,352,482,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3573030041201292,78.69,0,302,129e2ae7cfc593f6b5885d8a4db16e46,29,6,4,0,8,84.66349279854866,58.953147641831855,2926,14,0.0047846889952153,239,406,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4956828990005111019,6.94,1,124967,bba42d8cb7d9d3f98974d302e2c088b3,38,15,0,0,9,87.05639969946897,59.85805851791086,3657,10,0.0027344818156959,219,321,0,1,0,0,0,0,0,0,0,0,0,0,0,0
